組み合わせ,共起回数
"いい, ない, 問題, 思う, 感, 責任, 責任, 責任",70
"いい, 問題, 思う, 感, 責任, 責任",30
"いい, 問題, 思う, 感, 責任, 責任, 責任",35
"ない, ない, 問題, 思う, 感, 責任",10
"ない, ない, 問題, 思う, 感, 責任, 責任",30
"ない, 問題, 思う, 感, 責任, 責任",60
"ない, 問題, 思う, 感, 責任, 責任, 責任",70
"問題, 思う, 感, 責任, 責任",30
"問題, 思う, 感, 責任, 責任, 責任",35
"ない, ない, 問題, 思う, 感, 感, 責任",10
"ない, ない, 問題, 思う, 感, 感, 責任, 責任",35
"ない, 問題, 思う, 感, 感, 責任, 責任",70
"ない, 問題, 思う, 感, 感, 責任, 責任, 責任",92
"問題, 思う, 感, 感, 責任, 責任",35
"問題, 思う, 感, 感, 責任, 責任, 責任",46
"いい, ない, ない, 問題, 思う, 感, 感, 責任",10
"いい, ない, ない, 問題, 思う, 感, 感, 責任, 責任",35
"いい, ない, 問題, 思う, 感, 感, 責任, 責任",70
"いい, ない, 問題, 思う, 感, 感, 責任, 責任, 責任",92
"いい, 問題, 思う, 感, 感, 責任, 責任",35
"いい, 問題, 思う, 感, 感, 責任, 責任, 責任",46
"いい, ない, ない, 問題, 感, 感, 責任",10
"いい, ない, ない, 問題, 感, 感, 責任, 責任",35
"いい, ない, 問題, 感, 感, 責任, 責任",70
"いい, ない, 問題, 感, 感, 責任, 責任, 責任",92
"いい, 問題, 感, 感, 責任, 責任",35
"いい, 問題, 感, 感, 責任, 責任, 責任",46
"ない, ない, 問題, 感, 感, 責任",10
"ない, ない, 問題, 感, 感, 責任, 責任",35
"ない, 問題, 感, 感, 責任, 責任",70
"ない, 問題, 感, 感, 責任, 責任, 責任",92
"問題, 感, 感, 責任, 責任",35
"問題, 感, 感, 責任, 責任, 責任",46
"ない, ない, 問題, 感, 責任",10
"ない, ない, 問題, 感, 責任, 責任",30
"ない, 問題, 感, 責任, 責任",60
"ない, 問題, 感, 責任, 責任, 責任",70
"問題, 感, 責任, 責任",30
"問題, 感, 責任, 責任, 責任",35
"ない, ない, 人間, 問題, 感, 責任",10
"ない, ない, 人間, 問題, 感, 責任, 責任",30
"ない, 人間, 問題, 感, 責任, 責任",60
"ない, 人間, 問題, 感, 責任, 責任, 責任",70
"人間, 問題, 感, 責任, 責任",30
"人間, 問題, 感, 責任, 責任, 責任",35
"いい, ない, ない, 人間, 問題, 感, 責任",10
"いい, ない, ない, 人間, 問題, 感, 責任, 責任",30
"いい, ない, 人間, 問題, 感, 責任, 責任",60
"いい, ない, 人間, 問題, 感, 責任, 責任, 責任",70
"いい, 人間, 問題, 感, 責任, 責任",30
"いい, 人間, 問題, 感, 責任, 責任, 責任",35
"いい, ない, ない, 人間, 感, 責任",10
"いい, ない, ない, 人間, 感, 責任, 責任",30
"いい, ない, 人間, 感, 責任, 責任",60
"いい, ない, 人間, 感, 責任, 責任, 責任",70
"いい, 人間, 感, 責任, 責任",30
"いい, 人間, 感, 責任, 責任, 責任",35
"いい, ない, ない, 人間, 思う, 感, 責任",10
"いい, ない, ない, 人間, 思う, 感, 責任, 責任",30
"いい, ない, 人間, 思う, 感, 責任, 責任",60
"いい, ない, 人間, 思う, 感, 責任, 責任, 責任",70
"いい, 人間, 思う, 感, 責任, 責任",30
"いい, 人間, 思う, 感, 責任, 責任, 責任",35
"いい, ない, ない, 人間, 問題, 思う, 感, 責任",10
"いい, ない, ない, 人間, 問題, 思う, 感, 責任, 責任",30
"いい, ない, 人間, 問題, 思う, 感, 責任, 責任",60
"いい, ない, 人間, 問題, 思う, 感, 責任, 責任, 責任",70
"いい, 人間, 問題, 思う, 感, 責任, 責任",30
"いい, 人間, 問題, 思う, 感, 責任, 責任, 責任",35
"ない, ない, 人間, 問題, 思う, 感, 責任",10
"ない, ない, 人間, 問題, 思う, 感, 責任, 責任",30
"ない, 人間, 問題, 思う, 感, 責任, 責任",60
"ない, 人間, 問題, 思う, 感, 責任, 責任, 責任",70
"人間, 問題, 思う, 感, 責任, 責任",30
"人間, 問題, 思う, 感, 責任, 責任, 責任",35
"ない, ない, 人間, 思う, 感, 責任",10
"ない, ない, 人間, 思う, 感, 責任, 責任",30
"ない, 人間, 思う, 感, 責任, 責任",60
"ない, 人間, 思う, 感, 責任, 責任, 責任",70
"人間, 思う, 感, 責任, 責任",30
"人間, 思う, 感, 責任, 責任, 責任",35
"ない, ない, 人間, 思う, 感, 感, 責任",10
"ない, ない, 人間, 思う, 感, 感, 責任, 責任",35
"ない, 人間, 思う, 感, 感, 責任, 責任",70
"ない, 人間, 思う, 感, 感, 責任, 責任, 責任",92
"人間, 思う, 感, 感, 責任, 責任",35
"人間, 思う, 感, 感, 責任, 責任, 責任",46
"いい, ない, ない, 人間, 思う, 感, 感, 責任",10
"いい, ない, ない, 人間, 思う, 感, 感, 責任, 責任",35
"いい, ない, 人間, 思う, 感, 感, 責任, 責任",70
"いい, ない, 人間, 思う, 感, 感, 責任, 責任, 責任",92
"いい, 人間, 思う, 感, 感, 責任, 責任",35
"いい, 人間, 思う, 感, 感, 責任, 責任, 責任",46
"いい, ない, ない, 人間, 感, 感, 責任",10
"いい, ない, ない, 人間, 感, 感, 責任, 責任",35
"いい, ない, 人間, 感, 感, 責任, 責任",70
"いい, ない, 人間, 感, 感, 責任, 責任, 責任",92
"いい, 人間, 感, 感, 責任, 責任",35
"いい, 人間, 感, 感, 責任, 責任, 責任",46
"いい, ない, ない, 人間, 問題, 感, 感, 責任",10
"いい, ない, ない, 人間, 問題, 感, 感, 責任, 責任",35
"いい, ない, 人間, 問題, 感, 感, 責任, 責任",70
"いい, ない, 人間, 問題, 感, 感, 責任, 責任, 責任",92
"いい, 人間, 問題, 感, 感, 責任, 責任",35
"いい, 人間, 問題, 感, 感, 責任, 責任, 責任",46
"いい, ない, ない, 人間, 問題, 思う, 感, 感, 責任",10
"いい, ない, ない, 人間, 問題, 思う, 感, 感, 責任, 責任",35
"いい, ない, 人間, 問題, 思う, 感, 感, 責任, 責任",70
"いい, ない, 人間, 問題, 思う, 感, 感, 責任, 責任, 責任",92
"いい, 人間, 問題, 思う, 感, 感, 責任, 責任",35
"いい, 人間, 問題, 思う, 感, 感, 責任, 責任, 責任",46
"ない, ない, 人間, 問題, 思う, 感, 感, 責任",10
"ない, ない, 人間, 問題, 思う, 感, 感, 責任, 責任",35
"ない, 人間, 問題, 思う, 感, 感, 責任, 責任",70
"ない, 人間, 問題, 思う, 感, 感, 責任, 責任, 責任",92
"人間, 問題, 思う, 感, 感, 責任, 責任",35
"人間, 問題, 思う, 感, 感, 責任, 責任, 責任",46
"ない, ない, 人間, 問題, 感, 感, 責任",10
"ない, ない, 人間, 問題, 感, 感, 責任, 責任",35
"ない, 人間, 問題, 感, 感, 責任, 責任",70
"ない, 人間, 問題, 感, 感, 責任, 責任, 責任",92
"人間, 問題, 感, 感, 責任, 責任",35
"人間, 問題, 感, 感, 責任, 責任, 責任",46
"ない, ない, 人間, 感, 感, 責任",10
"ない, ない, 人間, 感, 感, 責任, 責任",35
"ない, 人間, 感, 感, 責任, 責任",70
"ない, 人間, 感, 感, 責任, 責任, 責任",92
"人間, 感, 感, 責任, 責任",35
"人間, 感, 感, 責任, 責任, 責任",46
"ない, ない, 人間, 感, 責任",10
"ない, ない, 人間, 感, 責任, 責任",30
"ない, 人間, 感, 責任, 責任",60
"ない, 人間, 感, 責任, 責任, 責任",70
"人間, 感, 責任, 責任",30
"人間, 感, 責任, 責任, 責任",35
"ない, ない, 感, 感, 責任",50
"ない, ない, 感, 感, 責任, 責任",35
"ない, 感, 感, 責任, 責任",200
"ない, 感, 感, 責任, 責任, 責任",92
"感, 感, 責任, 責任",100
"感, 感, 責任, 責任, 責任",46
"ない, ない, 感, 責任",10
"ない, ない, 感, 責任, 責任",30
"ない, 感, 責任, 責任",80
"ない, 感, 責任, 責任, 責任",70
"感, 責任, 責任",50
"感, 責任, 責任, 責任",35
"社会, 責任",11
"問題, 社会, 責任",21
"思う, 責任",11
"ない, 思う, 責任",11
"思う, 責任, 責任",10
"ない, 思う, 責任, 責任",10
"いい, ない, 人間, 責任",10
"いい, ない, 人間, 責任, 責任",20
"いい, ない, 責任, 責任",20
"いい, ない, 責任, 責任, 責任",20
"いい, 人間, 責任",13
"いい, 人間, 責任, 責任",22
"いい, 責任, 責任",16
"いい, 責任, 責任, 責任",14
"問題, 問題, 責任",10
"ない, 問題, 問題, 責任",20
"問題, 問題, 問題, 責任",10
"ない, 問題, 問題, 問題, 責任",10
"問題, 責任, 責任",10
"ない, 問題, 責任, 責任",20
"問題, 責任, 責任, 責任",10
"ない, 問題, 責任, 責任, 責任",10
"ない, 問題, 責任",20
"ない, ない, 問題, 責任",10
"ない, 人間, 責任",10
"ない, 人間, 責任, 責任",20
"ない, 責任, 責任",20
"ない, 責任, 責任, 責任",20
"人間, 責任",13
"人間, 責任, 責任",22
"責任, 責任",16
"責任, 責任, 責任",14
"そう, 言う",14
"そう, 思う, 言う",13
"そう, 思う",15
"人, 自己",10
"差別, 自己",12
"ない, ない, 感, 感, 感",10
"ない, ない, 感, 感, 感, 責任",45
"ない, 感, 感, 感, 責任",90
"ない, 感, 感, 感, 責任, 責任",162
"感, 感, 感, 責任",45
"感, 感, 感, 責任, 責任",81
"ない, ない, 感, 感",10
"ない, 感, 感, 責任",80
"感, 感, 責任",40
"感, 責任",15
"ない, 感, 責任",30
"ない, 感",16
"ほしい, 人",10
"ほしい, 人, 差別",10
"ほしい, 差別",12
"多い, 的",10
"人, 多い",14
"多い, 思う",18
"さん, 差別",11
"さん, 差別, 思う",11
"さん, 思う",13
"せる, 差別",13
"ない, 社会, 社会, 話",24
"ない, 人, 社会, 社会, 話",48
"ない, 差別, 社会, 社会, 話",72
"ない, 問題, 社会, 社会, 話",120
"ない, ない, 社会, 社会, 話",12
"ない, 人, 差別, 社会, 社会, 話",48
"ない, 人, 問題, 社会, 社会, 話",48
"ない, ない, 人, 社会, 社会, 話",12
"ない, 問題, 差別, 社会, 社会, 話",72
"ない, ない, 差別, 社会, 社会, 話",12
"ない, ない, 問題, 社会, 社会, 話",12
"ない, 人, 問題, 差別, 社会, 社会, 話",48
"ない, ない, 人, 差別, 社会, 社会, 話",12
"ない, ない, 人, 問題, 社会, 社会, 話",12
"ない, ない, 問題, 差別, 社会, 社会, 話",12
"ない, ない, 人, 問題, 差別, 社会, 社会, 話",12
"人, 人, 社会, 社会, 話",12
"人, 人, 差別, 社会, 社会, 話",36
"人, 人, 問題, 社会, 社会, 話",60
"人, 人, 問題, 差別, 社会, 社会, 話",36
"人, 差別, 差別, 社会, 社会, 話",73
"人, 問題, 差別, 差別, 社会, 社会, 話",364
"人, 差別, 差別, 差別, 社会, 社会, 話",24
"人, 問題, 差別, 差別, 差別, 社会, 社会, 話",24
"人, 問題, 差別, 社会, 社会, 話",368
"人, 問題, 問題, 差別, 社会, 社会, 話",732
"人, 問題, 社会, 社会, 話",124
"人, 問題, 問題, 社会, 社会, 話",246
"差別, 差別, 社会, 社会, 話",37
"問題, 差別, 差別, 社会, 社会, 話",184
"差別, 差別, 差別, 社会, 社会, 話",12
"問題, 差別, 差別, 差別, 社会, 社会, 話",12
"問題, 差別, 社会, 社会, 話",188
"問題, 問題, 差別, 社会, 社会, 話",372
"問題, 社会, 社会, 話",64
"問題, 問題, 社会, 社会, 話",126
"ない, 社会, 話",16
"ない, 人, 社会, 話",32
"ない, 差別, 社会, 話",48
"ない, 問題, 社会, 話",80
"ない, 人, 差別, 社会, 話",32
"ない, 人, 問題, 社会, 話",32
"ない, 問題, 差別, 社会, 話",48
"ない, 人, 問題, 差別, 社会, 話",32
"人, 差別, 差別, 社会, 話",50
"人, 問題, 差別, 差別, 社会, 話",248
"人, 差別, 差別, 差別, 社会, 話",16
"人, 問題, 差別, 差別, 差別, 社会, 話",16
"人, 問題, 差別, 社会, 話",256
"人, 問題, 問題, 差別, 社会, 話",504
"人, 問題, 社会, 話",88
"人, 問題, 問題, 社会, 話",172
"差別, 差別, 社会, 話",26
"問題, 差別, 差別, 社会, 話",128
"問題, 差別, 社会, 話",136
"問題, 問題, 差別, 社会, 話",264
"問題, 社会, 話",48
"問題, 問題, 社会, 話",92
"ない, 人, 差別, 話",25
"ない, 人, 問題, 差別, 話",122
"ない, 人, 差別, 差別, 話",24
"ない, 人, 問題, 差別, 差別, 話",24
"ない, 人, 問題, 話",42
"ない, 人, 問題, 問題, 話",81
"ない, 差別, 差別, 差別, 話",14
"ない, 問題, 差別, 差別, 差別, 話",20
"ない, 問題, 差別, 差別, 話",60
"ない, 問題, 問題, 差別, 差別, 話",120
"ない, 問題, 差別, 話",62
"ない, 問題, 問題, 差別, 話",121
"ない, 問題, 話",22
"ない, 問題, 問題, 話",41
"思う, 話",12
"人, 思う, 話",14
"人, 差別, 差別, 話",13
"人, 問題, 差別, 差別, 話",64
"人, 問題, 差別, 話",70
"人, 問題, 問題, 差別, 話",133
"人, 問題, 話",26
"人, 問題, 問題, 話",47
"問題, 問題, 問題, 問題, 話",11
"問題, 問題, 問題, 問題, 差別, 話",32
"問題, 問題, 問題, 差別, 話",68
"問題, 問題, 問題, 差別, 差別, 話",64
"問題, 問題, 差別, 話",73
"問題, 問題, 差別, 差別, 話",66
"問題, 差別, 話",46
"問題, 差別, 差別, 話",37
"差別, 話",22
"差別, 差別, 話",20
"ない, 人, 差別, 差別, 構造",26
"ない, 人, 差別, 差別, 構造, 社会",96
"ない, 人, 問題, 差別, 差別, 構造",122
"ない, 人, 問題, 差別, 差別, 構造, 社会",96
"ない, 人, 差別, 構造, 社会",96
"ない, 人, 問題, 差別, 構造, 社会",480
"ない, 人, 差別, 構造, 社会, 社会",144
"ない, 人, 問題, 差別, 構造, 社会, 社会",144
"ない, 人, 問題, 差別, 構造",126
"ない, 人, 問題, 問題, 差別, 構造",241
"ない, 人, 構造, 社会",32
"ない, 人, 問題, 構造, 社会",160
"ない, 人, 構造, 社会, 社会",48
"ない, 人, 問題, 構造, 社会, 社会",48
"ない, 人, 問題, 構造",44
"ない, 人, 問題, 問題, 構造",81
"人, 構造, 社会",16
"人, 差別, 構造, 社会",48
"人, 問題, 構造, 社会",80
"人, 構造, 社会, 社会",24
"人, 問題, 差別, 構造, 社会",48
"人, 差別, 構造, 社会, 社会",24
"人, 問題, 構造, 社会, 社会",24
"人, 問題, 差別, 構造, 社会, 社会",24
"人, 差別, 差別, 構造",14
"人, 問題, 差別, 差別, 構造",62
"人, 問題, 差別, 構造",66
"人, 問題, 問題, 差別, 構造",121
"人, 問題, 構造",24
"人, 問題, 問題, 構造",41
"それ, 構造",10
"それ, 差別, 構造",28
"それ, 思う, 構造",18
"それ, 差別, 思う, 構造",18
"ない, 構造, 社会, 社会",24
"ない, 差別, 構造, 社会, 社会",72
"ない, 問題, 構造, 社会, 社会",120
"ない, 構造, 社会, 社会, 社会",16
"ない, 問題, 差別, 構造, 社会, 社会",72
"ない, 差別, 構造, 社会, 社会, 社会",16
"ない, 問題, 構造, 社会, 社会, 社会",16
"ない, 問題, 差別, 構造, 社会, 社会, 社会",16
"ない, 差別, 差別, 差別, 構造, 社会",20
"ない, 問題, 差別, 差別, 差別, 構造, 社会",80
"ない, 問題, 差別, 差別, 構造, 社会",240
"ない, 問題, 問題, 差別, 差別, 構造, 社会",480
"ない, 問題, 差別, 構造, 社会",240
"ない, 問題, 問題, 差別, 構造, 社会",480
"ない, 問題, 構造, 社会",80
"ない, 問題, 問題, 構造, 社会",160
"ない, 問題, 問題, 構造",42
"ない, 問題, 問題, 差別, 構造",122
"ない, 問題, 問題, 問題, 構造",40
"ない, 問題, 問題, 問題, 差別, 構造",40
"ない, 問題, 差別, 構造",66
"ない, 問題, 差別, 差別, 構造",61
"ない, 差別, 構造",26
"ない, 差別, 差別, 構造",26
"思う, 構造",12
"差別, 思う, 構造",21
"構造, 社会, 社会",12
"差別, 構造, 社会, 社会",36
"問題, 構造, 社会, 社会",60
"問題, 差別, 構造, 社会, 社会",36
"差別, 差別, 差別, 構造, 社会",13
"問題, 差別, 差別, 差別, 構造, 社会",41
"問題, 差別, 差別, 構造, 社会",123
"問題, 問題, 差別, 差別, 構造, 社会",240
"問題, 差別, 構造, 社会",123
"問題, 問題, 差別, 構造, 社会",240
"問題, 構造, 社会",49
"問題, 問題, 構造, 社会",92
"問題, 問題, 問題, 問題, 構造",12
"問題, 問題, 問題, 問題, 差別, 構造",30
"問題, 問題, 問題, 差別, 構造",60
"問題, 問題, 問題, 差別, 差別, 構造",60
"問題, 問題, 差別, 構造",62
"問題, 問題, 差別, 差別, 構造",60
"問題, 差別, 構造",42
"問題, 差別, 差別, 構造",37
"差別, 構造",38
"差別, 差別, 構造",35
"ファン, 問題",12
"ファン, 問題, 差別",16
"ファン, 差別",16
"思う, 感じ",11
"人, 感じ",15
"上, 差別",10
"上, 思う",11
"人, 良い",11
"人, 思う, 良い",10
"思う, 良い",18
"持つ, 自分",12
"問題, 持つ, 自分",30
"問題, 持つ",21
"問題, 問題, 持つ",18
"られる, 差別",11
"られる, 差別, 自分",13
"られる, 人",12
"られる, 自分",14
"ない, 思う, 関係",12
"ない, 人, 思う, 関係",13
"人, 思う, 関係",17
"人, 関係",18
"ない, 人, 関係",15
"人, 差別, 差別, 関係",12
"ない, 人, 差別, 差別, 関係",17
"ない, 人, 差別, 関係",19
"差別, 差別, 関係",15
"ない, 差別, 差別, 関係",23
"ない, 差別, 関係",22
"ない, 関係",20
"女性, 差別, 思う, 理解",13
"女性, 差別, 思う, 理解, 男性",20
"女性, 差別, 理解, 男性",15
"女性, 思う, 理解",11
"女性, 思う, 理解, 男性",16
"女性, 理解, 男性",14
"問題, 問題, 思う, 理解",13
"できる, 問題, 問題, 思う, 理解",24
"問題, 問題, 思う, 理解, 男性",36
"できる, 問題, 問題, 思う, 理解, 男性",24
"できる, 問題, 問題, 理解",24
"できる, 問題, 問題, 理解, 男性",72
"できる, できる, 問題, 問題, 理解",12
"できる, できる, 問題, 問題, 理解, 男性",12
"問題, 問題, 理解, 男性",36
"問題, 問題, 理解, 男性, 男性",36
"できる, 問題, 思う, 理解",17
"できる, 問題, 思う, 理解, 男性",48
"問題, 思う, 理解, 男性",30
"問題, 思う, 理解, 男性, 男性",27
"できる, 問題, 理解",19
"できる, 問題, 理解, 男性",49
"問題, 理解, 男性",29
"問題, 理解, 男性, 男性",26
"できる, 思う, 理解",11
"できる, 思う, 理解, 男性",16
"差別, 思う, 理解",16
"差別, 思う, 理解, 男性",16
"思う, 理解, 男性",18
"思う, 理解, 男性, 男性",11
"差別, 理解",16
"差別, 理解, 男性",12
"理解, 男性",16
"できる, 理解, 男性",15
"できる, 理解",20
"側, 思う",10
"側, 差別",13
"側, 差別, 差別",10
"個人, 社会, 社会",13
"ない, 個人, 社会, 社会",24
"個人, 差別, 社会, 社会",36
"個人, 問題, 社会, 社会",60
"ない, 個人, 差別, 社会, 社会",24
"ない, 個人, 問題, 社会, 社会",24
"個人, 問題, 差別, 社会, 社会",36
"ない, 個人, 問題, 差別, 社会, 社会",24
"ない, 個人, 社会",18
"ない, 個人, 差別, 社会",48
"ない, 個人, 問題, 社会",80
"ない, 個人, 問題, 差別, 社会",48
"個人, 差別, 差別, 社会",27
"個人, 問題, 差別, 差別, 社会",120
"個人, 問題, 差別, 社会",120
"個人, 問題, 問題, 差別, 社会",240
"個人, 問題, 社会",42
"個人, 問題, 問題, 社会",81
"ない, 人, 個人, 社会",32
"ない, 人, 個人, 差別, 社会",96
"ない, 人, 個人, 問題, 社会",160
"ない, 人, 個人, 社会, 社会",48
