組み合わせ,共起回数
"在処, 有る, 消耗, 為る, 知れる",12
"有る, 消耗, 為る, 知れる",8
"有る, 消耗, 為る, 為る, 知れる",12
"在処, 有る, 知れる",3
"在処, 有る, 為る, 知れる",12
"有る, 為る, 知れる",8
"有る, 為る, 為る, 知れる",12
"有る, 知れる, 自分",2
"在処, 有る, 知れる, 自分",3
"有る, 為る, 知れる, 自分",8
"在処, 有る, 為る, 知れる, 自分",3
"思う, 有る, 知れる, 自分",2
"在処, 思う, 有る, 知れる, 自分",3
"思う, 有る, 為る, 知れる, 自分",8
"在処, 思う, 有る, 為る, 知れる, 自分",3
"在処, 思う, 知れる, 自分",3
"在処, 思う, 為る, 知れる, 自分",12
"思う, 為る, 知れる, 自分",8
"思う, 為る, 為る, 知れる, 自分",12
"思う, 消耗, 知れる, 自分",2
"在処, 思う, 消耗, 知れる, 自分",3
"思う, 消耗, 為る, 知れる, 自分",8
"在処, 思う, 消耗, 為る, 知れる, 自分",3
"思う, 有る, 消耗, 知れる, 自分",2
"在処, 思う, 有る, 消耗, 知れる, 自分",3
"思う, 有る, 消耗, 為る, 知れる, 自分",8
"在処, 思う, 有る, 消耗, 為る, 知れる, 自分",3
"在処, 有る, 消耗, 知れる, 自分",3
"在処, 有る, 消耗, 為る, 知れる, 自分",12
"有る, 消耗, 為る, 知れる, 自分",8
"有る, 消耗, 為る, 為る, 知れる, 自分",12
"在処, 消耗, 知れる, 自分",3
"在処, 消耗, 為る, 知れる, 自分",12
"消耗, 為る, 知れる, 自分",8
"消耗, 為る, 為る, 知れる, 自分",12
"在処, 知れる, 自分",3
"在処, 為る, 知れる, 自分",12
"為る, 知れる, 自分",8
"為る, 為る, 知れる, 自分",12
"在処, 知れる",3
"在処, 為る, 知れる",12
"為る, 知れる",8
"為る, 為る, 知れる",12
"為る, 行く",4
"人, 分かる",2
"分かる, 無い",2
"人, 分かる, 無い",2
"人, 多い",2
"人, 多い, 自分",2
"多い, 情報, 自分",3
"多い, 情報, 情報, 自分",3
"多い, 為る, 自分",2
"多い, 居る, 為る, 自分",2
"多い, 情報, 為る, 自分",3
"多い, 居る, 情報, 為る, 自分",2
"人, 多い, 為る",2
"人, 多い, 為る, 自分",2
"多い, 居る, 為る",2
"多い, 居る, 情報, 為る",6
"多い, 情報, 為る",3
"多い, 情報, 情報, 為る",3
"多い, 居る",2
"多い, 居る, 自分",2
"多い, 居る, 情報",6
"多い, 居る, 情報, 自分",2
"多い, 情報",3
"多い, 情報, 情報",3
"作る, 詩",2
"作る, 無い",2
"作る, 居る",2
"作る, 自分",2
"作る, 無い, 詩",2
"作る, 居る, 詩",2
"作る, 自分, 詩",2
"作る, 居る, 無い",2
"作る, 無い, 自分",2
"作る, 居る, 自分",2
"作る, 居る, 無い, 詩",2
"作る, 無い, 自分, 詩",2
"作る, 居る, 自分, 詩",2
"作る, 居る, 無い, 自分",2
"作る, 居る, 無い, 自分, 詩",2
"アカウント-account, 為る",2
"アカウント-account, 有る",2
"アカウント-account, 有る, 為る",2
"有る, 為る",6
"有る, 為る, 為る",6
"人, 為る",3
"人, 無い",2
"人, 自分",2
"人, 為る, 無い",2
"人, 為る, 自分",2
"人, 無い, 自分",2
"人, 為る, 無い, 自分",2
"思う, 自分",2
"思う, 為る, 自分",5
"居る, 思う",2
"居る, 思う, 自分",2
"居る, 思う, 為る",2
"居る, 思う, 為る, 自分",2
"思う, 為る",5
"思う, 為る, 為る",6
"無い, 自分",2
"思う, 情報, 為る",2
"思う, 情報, 情報, 為る",3
"居る, 思う, 情報, 為る",4
"居る, 思う, 情報, 情報, 為る",3
"思う, 情報, 為る, 自分",2
"思う, 情報, 情報, 為る, 自分",3
"居る, 思う, 情報, 為る, 自分",4
"居る, 思う, 情報, 情報, 為る, 自分",3
"思う, 情報, 情報, 自分",3
"居る, 思う, 情報, 情報, 自分",6
"居る, 思う, 情報, 自分",4
"居る, 居る, 思う, 情報, 自分",2
"思う, 情報, 情報",3
"居る, 思う, 情報, 情報",6
"居る, 思う, 情報",4
"居る, 居る, 思う, 情報",2
"情報, 自分",3
"居る, 情報, 自分",6
"情報, 情報, 自分",3
"居る, 情報, 情報, 自分",3
"情報, 為る",3
"情報, 為る, 自分",3
"居る, 情報, 為る",6
"情報, 情報, 為る",3
"居る, 情報, 為る, 自分",3
"情報, 情報, 為る, 自分",3
"居る, 情報, 情報, 為る",3
"居る, 情報, 情報, 為る, 自分",3
"情報, 情報",3
"居る, 情報, 情報",6
"居る, 情報",6
"居る, 居る, 情報",3
"居る, 自分",2
"居る, 為る, 自分",2
"為る, 自分",6
"為る, 為る, 自分",6
"居る, 為る",2
"為る, 為る",6
